Date,AXISBANK.BO,BANKINDIA.BO,ICICIBANK.BO,INDUSINDBK.BO,SBIN.BO,APOLLOHOSP.BO,FORTIS.BO,INDRAMEDCO.BO,KOVAI.BO,LEHIL.BO,COLPAL.BO,DABUR.BO,EMAMILTD.BO,GILLETTE.BO,MARICO.BO,GODFRYPHLP.BO,GOLDENTOBC.BO,ITC.BO,NTCIND.BO,VSTIND.BO
9/1/2015,470.49,134.6,232.76,813.14,233.88,1281.25,159.45,51.5,779.34,11.86,883.94,254.81,550.65,4563.84,187.11,512.8,37.4,184.61,37.1,1252.2
9/2/2015,457.46,130.95,227.28,807.76,225.57,1285.51,159,50.36,766.4,12.02,886.88,262.33,569.99,4562.51,187.77,518.09,38.85,187.21,38.45,1250.47
9/3/2015,476.61,133.55,228.65,832.48,227.53,1300.12,161.15,51.04,763.47,11.92,879.67,267.97,586.54,4664.5,187.2,536.08,39.45,187.24,36.5,1239.95
9/4/2015,459.41,128.8,220.94,822.59,220.14,1287.13,156,49.01,751.99,11.98,866.92,268.02,589.28,4560.75,186.07,530.61,36.8,185.13,33.5,1248.09
9/7/2015,441.48,127.4,213.57,804.09,216.86,1237.83,149.9,47.53,720.73,11.83,849.48,260.27,570.06,4377.71,182.93,521.55,35.6,183.26,32,1249.83
9/8/2015,464.12,133.45,223.72,823.28,223.32,1287.82,153.6,47.83,722.92,12.22,831.74,257.68,572.75,4417.67,177.77,525.71,35,183.12,33.55,1257.42
9/9/2015,476.17,135.3,226.55,839.24,226.5,1323.49,156.5,49.35,755.16,12.59,843.76,258.57,568.35,4484.32,181.92,527.01,34.4,183.82,34.3,1268.44
9/10/2015,473.28,131.85,229.16,849.33,222.64,1377.69,167.15,50.02,759.31,12.19,833.77,262.66,569.56,4441.8,182.15,520.89,34,183.41,35.4,1273.87
9/11/2015,471.61,132.05,228.99,851.29,225.13,1349.61,165.05,50.15,765.66,12.2,852.93,264.83,570.78,4500.04,186.48,521.08,35.2,183.15,34,1276.67
9/14/2015,486.02,136.05,233.1,857.6,230.02,1340.35,166.95,50.36,752.23,12.36,885.89,264.26,575.53,4494.2,188.4,524.91,36,183.32,33.55,1263.23
9/15/2015,473.04,137.35,230.49,863.72,228.7,1334.61,163.2,51.5,763.73,12.89,893.93,265.2,571.06,4467.21,186.39,524.54,35.3,185.31,33.55,1247.16
9/16/2015,484.16,138.55,233.83,880.96,231.49,1311.93,161.75,52.02,787.51,12.98,910.31,257.45,542.55,4511.63,186.97,533.56,35.25,187.97,33.25,1262.51
9/18/2015,506.89,140.5,238.25,899.12,237.06,1343.24,176.2,52.02,785.55,12.68,894.21,259.61,512,4504.17,187.13,613.53,35.7,186.33,35.65,1259.83
9/21/2015,517.28,143.6,239.4,894.57,239.8,1336.97,177.35,51.98,779.42,12.65,902.75,262.33,502.86,4557.24,186.51,623.42,35.95,183.88,36.05,1259.5
9/22/2015,498.81,136.8,231.9,868.57,232.71,1345.79,169.7,51.67,787.51,12.65,884.17,261.21,507.1,4552.96,181.87,603.36,35.9,182.56,33.6,1267.64
9/23/2015,501.6,136.1,234.69,886.49,234.86,1343.19,175.6,51.76,798.79,12.79,862.34,259.42,513.89,4498.28,180.19,602.7,36.05,184.9,32.45,1294.77
9/24/2015,503.41,135.1,230.1,906.51,233.93,1379.99,173.6,51.5,787.02,12.61,874.89,258.34,513.14,4556.43,182.01,606.81,34.3,188.76,35.4,1315.5
9/28/2015,496.65,135.8,230.1,901.18,234.32,1372.35,171.6,51.8,778.44,12.83,871.72,258.43,522.79,4541.94,183.44,625.98,34.75,186.63,34.05,1318.85
9/29/2015,493.86,137.85,230.36,921.84,236.72,1413.9,168.2,51.76,791.93,12.57,866.2,258.1,538.43,4544.31,182.2,605.82,33.5,187.42,37.05,1321.05
9/30/2015,485.58,135.55,231.56,922.67,232.07,1412.82,168.9,51.89,799.04,12.53,882.65,259.7,539.78,4599.33,186.41,606.96,33.65,192.42,36.8,1350.14
10/1/2015,485.58,134.45,229.08,937.11,230.27,1413.71,170.7,53.24,803.21,13.28,885.78,262.1,547.65,4722.79,184.06,603.08,33.55,192.36,34.35,1349.29
10/5/2015,501.75,139.2,240.3,939.95,234.62,1445.31,171.9,54.2,801.24,13.39,884.77,259.42,566.01,4823.26,185.77,638,34,192.51,37,1351.92
10/6/2015,496.45,141.7,242.27,932.81,235.01,1466.29,170.85,53.46,798.79,13.57,881.18,259.98,545.78,4803.74,185.38,617.13,33.65,200.61,38.7,1352.34
10/7/2015,486.9,145.7,242.4,928.69,238.04,1450.56,172.1,56.59,800.02,13.58,867.35,262.85,550.06,4802.55,186.02,616.42,33.6,202.6,38.05,1336.53
10/8/2015,481.46,145.6,238.59,926.1,238.04,1420.22,168.6,57.89,803.94,13.41,853.48,261.16,544.33,4763.46,185.38,607.29,34,198.41,37,1324.7
10/9/2015,480.48,144.65,245.14,919.49,237.89,1425.03,169.4,58.46,800.02,13.57,856.65,262.1,541.05,4747.25,184.46,597.07,35.65,200.81,35.9,1329.53
10/12/2015,477.3,143.9,246.51,923.31,239.17,1427.48,165.45,57.85,791.68,13.57,844.38,262.15,517.97,4756.19,182.43,615.62,34.7,199.32,37.3,1356.62
10/13/2015,480.97,142.25,246.26,925.71,238.09,1422.04,164.1,58.07,808.11,14.2,844.38,254.67,512.6,4739.51,179.96,633.36,35.15,201.28,37,1362.09
10/14/2015,485.23,141.3,242.36,929.72,238.92,1410.62,162.8,57.55,803.21,14.2,836.52,256.22,499.42,4732.86,181.74,643.11,35.9,201.46,43.2,1352.59
10/15/2015,488.62,142.75,245.19,937.41,243.52,1411.45,162.3,58.85,809.09,13.3,834,255.52,502.58,4650.24,184.04,669.51,36.75,204.56,46.6,1365.74
10/16/2015,494.69,142.85,248.48,942.4,249.34,1410.91,162.2,57.72,804.19,13.34,831.93,256.18,502.44,4587.39,184.36,803.38,36.75,204.09,47.45,1425.13
10/19/2015,496.5,141.7,246.09,942.25,248.95,1395.57,162.15,59.46,798.3,13.15,862.53,256.13,523.16,4584.96,185.19,956.26,44.1,205.29,49.95,1461.29
10/20/2015,498.46,142.4,245.19,936.97,248.9,1384.5,166.9,57.89,804.43,13.57,862.99,254.77,530.19,4711.75,182.06,877.15,42.55,203.53,49.05,1431.62
10/21/2015,501.06,138.5,241.84,937.11,244.25,1354.51,166.15,57.98,816.45,13.57,867.63,253.78,526.7,4725.9,181.39,912.82,40.6,203.88,43.35,1394.86
10/23/2015,515.12,138.65,245.19,940.2,247.33,1378.91,163.3,58.46,823.07,13.82,864.83,247.01,512.14,4728.19,178.3,913.11,43.75,209.62,44,1375.11
10/26/2015,510.66,137.1,244.37,937.75,245.67,1390.67,159.95,57.63,823.8,13.57,859.54,251.01,505.63,4743.92,179.18,909.8,45.9,208.51,41.3,1375.57
10/27/2015,510.81,137.15,243.09,933.74,243.23,1353.63,160,57.37,845.62,14.05,870.11,254.63,511.76,4683.4,180.15,905.44,48.35,208.16,40.1,1378.54
10/28/2015,473.23,134.8,232.63,908.03,236.72,1320.8,157.65,56.37,843.91,13.45,898.69,255.19,506.87,4622.08,181.21,893.52,47.4,207.54,41.05,1361.67
10/29/2015,459.95,133.65,232.59,894.62,231.93,1293.3,155.15,59.24,867.2,13.67,895.06,256.13,491.46,4624.37,181.02,866.03,44.05,204.62,39.9,1388.12
10/30/2015,465.39,131.6,237.35,892.22,232.03,1287.28,155.55,58.11,892.7,13.34,878.79,253.97,501.25,4614.74,178.49,892.81,42.75,195.81,37.1,1369.81
11/2/2015,468.67,132.9,239.32,894.91,231.73,1315.5,156.8,58.33,892.7,13.44,862.9,253.69,479.12,4554.75,177.93,871.04,42,197.3,37.1,1373.92
11/3/2015,465.78,133.15,239.19,893.24,231.05,1321.29,163.15,57.81,880.19,13.57,872.22,253.83,483.39,4496.14,180.15,901.8,42.2,195.78,40.35,1367.98
11/4/2015,463.73,133.3,234.26,895.2,233.25,1339.07,160.65,57.11,867.93,13.32,864.78,253.97,485.05,4478.23,184.04,895.84,42.95,196.31,39.85,1383.2
11/5/2015,455.25,132.1,231.48,887.61,229.09,1315.41,162.8,56.46,860.58,14.97,866.86,251.04,485.89,4463.22,186.07,901.51,40.9,197.48,38.4,1386.3
11/6/2015,455.5,134.4,229.16,902.35,237.94,1317.81,160.8,55.46,854.2,14.51,866.3,252.6,492.52,4498.34,185.56,882.87,40.1,197.1,37.15,1345.56
11/9/2015,455.59,133.45,225.26,903.43,240.73,1300.26,166.15,56.15,857.39,14.11,885.4,251.8,495.82,4470.22,188.38,903.69,40.45,200.23,39.9,1373.03
11/10/2015,459.07,132.1,224.84,873.81,236.04,1247.88,163.25,55.76,844.4,13.91,882.31,250.14,492.56,4421.34,188.17,886.51,40.2,196.89,39.9,1377.82
11/13/2015,474.31,130.25,224.24,874.59,234.96,1224.31,160.65,55.55,839.98,14.8,875.21,253.07,474.65,4425.2,185.31,937.33,40.4,192.74,39,1370.61
11/16/2015,471.91,133.05,228.95,893.54,242.54,1255.08,160.15,57.42,829.69,13.94,875.3,247.08,464.28,4430.29,182.33,1075.41,44.75,197.92,38.8,1369.13
11/17/2015,465.69,131.85,229.08,887.08,242.59,1295.61,164.5,57.5,834.59,13.54,872.44,249.91,468.36,4404.71,186.7,1200.76,53.7,203.68,42.15,1468.12
11/18/2015,454.27,128.6,222.99,881,235.79,1274.58,159.45,57.46,834.59,13.4,871.15,254.06,467.37,4419.86,194.47,1130.21,48.8,203.33,43,1429.67
11/19/2015,453.68,128.85,228.05,894.91,238.53,1291.3,160.8,58.55,855.43,13.36,881.57,257.98,466.01,4472.13,195.82,1138.39,48.9,205.96,43.65,1424.79
11/20/2015,450.15,129.6,226.89,903.04,237.7,1306.05,158.9,58.29,868.18,13.22,887.85,259.45,469.22,4520.16,195,1201.28,48.5,201.49,43.5,1431.66
11/23/2015,453.39,128.35,227.15,900.44,237.6,1321.38,161.4,56.94,846.36,13.32,885.04,259.4,460.16,4493.52,199.54,1289.67,48.45,197.39,43.15,1439.5
11/24/2015,454.52,124.5,225.74,900.44,236.23,1302.47,160.05,56.89,842.68,13.51,871.98,259.78,436.09,4462.12,201.14,1295.06,47.8,196.57,41.2,1443.45
11/26/2015,455.84,126.4,226.55,897.26,237.45,1308.54,160.85,56.98,832.63,13.59,890.94,263.74,436.98,4490.47,199.65,1355.49,47.2,200.43,42.75,1430.35
11/27/2015,461.42,130.3,231,905.04,244.11,1306.34,160.9,61.2,834.83,13.49,890.06,260.58,428.91,4462.7,195.77,1307.74,45.6,201.22,45,1421.32
11/30/2015,459.41,131.3,234.86,914.1,244.99,1293.65,165.75,60.76,849.05,14.06,895.74,258.41,435.09,4463.65,196.79,1342.52,46.3,200.78,43.25,1431.87
12/1/2015,452.36,130.7,234.43,920.57,243.86,1317.41,167.3,60.42,848.56,14.07,898,263.27,443.37,4472.23,197.02,1322.46,46.1,202.51,41.95,1433.36
12/2/2015,449.96,127.4,231.6,923.11,239.41,1351.81,166.05,59.89,862.54,14,904.6,267.14,451.48,4493.24,200.74,1485.24,47.4,204.73,40.6,1437.64
12/3/2015,453.09,125.35,227.92,923.99,235.89,1333.29,163.6,61.37,844.4,14.06,897.49,262.47,465.57,4479.04,198,1542.02,45.9,200.73,41.35,1441.41
12/4/2015,451.13,123.45,224.02,921.54,235.69,1336.18,166.5,60.9,837.53,13.98,899.02,257.09,471.82,4514.73,197.54,1483.06,44.6,196.34,40.2,1434.08
12/7/2015,452.56,121.95,225.52,932.71,233.93,1343.34,177.2,62.85,840.96,14.84,915.67,260.96,469.69,4500.05,198.26,1410.33,44.35,183.44,40,1393.17
12/8/2015,449.32,118.6,224.02,924.14,230.75,1321.78,170.45,62.9,840.47,15.48,905.98,260.15,464.98,4440.83,198.09,1417.67,44.1,184.4,40.15,1353.78
12/9/2015,441.83,117.2,222.35,907.69,229.24,1330.45,162.6,58.63,831.16,15.37,889.79,254.58,459.51,4370.11,196.93,1371.2,45.1,185.72,38.1,1354.71
12/10/2015,440.75,117.05,221.62,911.46,226.89,1365.73,174.6,62.68,867.93,17,903.35,254.54,461.07,4494.67,197.16,1326.01,45.55,187.97,38.55,1365.4
12/11/2015,430.95,115.4,213.65,897.26,222.15,1354.31,174.65,61.81,859.6,19.12,902.93,253.17,462.15,4502.48,199.16,1310.35,50,187.74,38.5,1360.14
12/14/2015,422.23,115.7,213.31,894.03,221.56,1372.84,178.8,60.2,856.66,21.22,911.77,251.66,468.5,4492.09,200.02,1402,48.55,187.01,38.35,1350.98
12/15/2015,426.59,115.8,211.08,900.39,221.17,1361.57,175.55,59.11,863.28,20.28,926.63,257.27,470.51,4480.09,201.26,1311.29,48.05,188.73,38.25,1356.62
12/16/2015,428.5,115.9,215.92,913.17,222.34,1352.6,170.85,60.11,865.48,19.3,920.85,254.72,466.11,4474.08,203.12,1321.75,46.5,186.92,40.25,1355.9
12/17/2015,426.59,117.4,216.82,929.48,225.96,1395.87,177.05,58.59,854.69,19.69,921.54,259.68,468.24,4492.38,210.18,1259.39,47.8,187.47,42.5,1377.65
12/18/2015,423.7,117.45,214.3,915.47,221.71,1417.19,175.75,58.76,841.45,19.51,918.67,259.07,459.18,4495.57,211.37,1133.47,48.65,185.6,42.85,1367.43
12/21/2015,432.57,117.95,221.24,928.15,225.33,1414.78,173.55,58.55,857.64,19.62,924.04,262.37,461.24,4475.42,214.88,1170.95,48.8,190.58,46.9,1394.31
12/22/2015,437.66,116.45,222.35,915.18,223.32,1420.17,173.75,58.16,838.02,20.61,915.66,262.89,460.07,4466.27,205.86,1192.05,48.3,187.47,51.3,1372.31
12/23/2015,442.81,117.45,224.32,919.59,224.89,1403.95,176.65,58.29,840.96,22.42,911.82,262.94,460.86,4460.6,207.39,1188.03,48.1,188.09,50.1,1398.93
12/24/2015,441.63,117.6,220.89,926.34,223.66,1408.71,177.8,57.76,852.49,23.26,912.42,261.52,459.04,4432.3,210.28,1199.2,46.95,189.08,48.7,1401.14
12/28/2015,445.01,117.85,226.33,936.23,223.86,1412.58,186.2,58.37,860.58,25.57,907.98,261.24,458.8,4458.31,208.56,1199.53,46.55,190.75,49.7,1462.57
12/29/2015,448.49,116.75,227.23,940,223.52,1432.57,182.25,57.02,840.96,24.96,900.25,262.37,456.88,4405.18,207.95,1187.74,46.2,190.11,49.4,1444.34
12/30/2015,445.99,115.4,225.44,948.33,220.87,1432.28,180.7,56.81,843.91,23.72,900.62,259.87,466.55,4439.4,209.72,1251.01,46.95,191.04,47.7,1441.41
12/31/2015,440.45,114.95,224.02,948.62,219.51,1433.65,180.25,57.81,834.59,23.07,898.26,261.19,467.37,4443.68,210.46,1299.94,46.65,191.66,52,1427.84
1/1/2016,440.75,117.1,225.35,943.38,222.68,1430.96,185.15,58.5,837.04,24.19,904,260.91,463.53,4422.15,211.44,1338.36,49.15,191.48,51.55,1442.51
1/4/2016,430.41,114.9,218.97,915.03,216.13,1418.31,179.55,57.72,836.06,24.33,901.68,261.1,464.4,4415.38,209.72,1284.51,47.7,190.05,50.7,1442.3
1/5/2016,427.57,114.15,219.99,916.01,213.49,1437.52,181.85,58.63,839,24.24,900.62,260.77,467.77,4458.65,214.74,1316.45,47.65,189.96,51.05,1454.47
1/6/2016,422.13,114.15,214.3,924.24,212.27,1425.86,180.05,57.98,843.66,23.66,878.12,260.44,457.82,4410.33,210.65,1295.68,46.75,184.35,52,1433.65
1/7/2016,401.11,108.95,211.64,906.9,204.98,1365.63,172,55.63,848.32,22.49,846.83,251.37,452.39,4440.87,207.21,1235.49,44.9,181.13,49.85,1442.6
1/8/2016,405.52,110.2,209.88,927.57,204.39,1376.81,176.25,56.15,853.96,22.39,857.94,253.92,455.67,4424.1,212.32,1327.38,46.7,183.32,49.6,1455.82
1/11/2016,408.85,107.7,205.21,918.12,199.84,1349.51,177.3,55.68,850.28,21.38,839.61,248.44,446.54,4398.66,205.95,1315.98,45.55,184.87,49.65,1469.9
1/12/2016,397.93,104.6,202.94,893.49,195.49,1336.53,182.65,55.63,852.98,20.31,840.31,240.65,448.57,4429.39,205.16,1266.25,45,184.55,47.9,1469.6
1/13/2016,398.22,100.2,204.61,916.8,196.57,1338.24,170.95,53.94,848.32,19.78,861.09,242.64,462.9,4396.99,208.79,1227.49,44.8,184.87,44.7,1438.4
1/14/2016,382.69,98.4,201.62,898.39,191.53,1345.4,181.2,53.33,832.38,19.1,871.6,245.47,471.47,4410.43,209.49,1198.2,43.45,185.57,47,1441.66
1/15/2016,366.13,94.05,192.4,901.76,180.72,1341.47,174.5,50.89,811.54,18.18,849.1,237.21,462.17,4336.19,209.25,1147,42.85,183.56,43.35,1432.25
1/18/2016,366.03,92.7,190.82,877.58,177.15,1322.02,167.45,48.15,775.99,17.31,844.61,233.34,467.02,4180.52,203.77,1022.13,40.8,184.58,42.65,1404.65
1/19/2016,385.19,93.9,196.05,877.38,179.11,1382.79,171,49.63,795.36,16.97,846.14,236.07,475.61,4319.75,208.79,1002.45,40.6,183.76,43.5,1379.47
1/20/2016,380.83,91.4,192.06,848.98,169.91,1331.33,170.3,47.72,784.33,16.24,847.53,235.13,469.43,4268.53,209.67,1109.53,40.75,180.81,40.75,1368.07
1/21/2016,400.67,95.25,193.82,855.4,172.01,1341.13,171.8,48.19,791.19,15.56,840.73,227.58,468.47,4261.81,204.6,1141.42,39.8,179.34,40.25,1377.86
1/22/2016,415.57,100.75,199.43,879.1,180.28,1375.14,179.3,48.72,804.19,16.34,817.26,228.05,471.7,4263.38,203.77,1147.81,41.25,180.57,38.55,1432.25
1/25/2016,411.55,99.7,202.34,887.91,178.91,1391.61,176.15,49.28,814.24,17.11,802.91,224.55,465.52,4279.73,200,1165.03,41.7,181.1,42.45,1425.22
1/27/2016,406.8,99.7,203.03,889.13,180.28,1364.85,173.8,48.76,820.37,17.94,791.43,223.8,465.45,4275.44,198.93,1157.84,41.9,182.82,41.8,1424.45
1/28/2016,398.42,99,199.6,888.99,181.31,1386.9,173.25,48.63,829.44,18.81,788.05,229.65,473.76,4279.06,197.86,1149.09,42.8,186.39,41,1430.01
1/29/2016,399.94,100.05,197.16,907.64,176.02,1441.88,178.05,49.19,848.32,19.73,792.77,236.12,471.28,4253.52,206.56,1156.37,42.1,186.92,41.1,1431.24
2/1/2016,391.26,97.75,186.06,907.15,169.13,1468.35,176.25,49.41,848.32,20.7,797.17,236.69,484.44,4230.31,209.91,1210.65,42.75,189.96,41,1430.56
2/2/2016,383.43,96.6,180.45,889.87,165.75,1406.55,170.8,50.11,849.05,19.68,791.57,227.95,485.24,4234.55,208.28,1170.66,42.6,189.81,41.05,1435.05
2/3/2016,372.89,92.95,174.88,887.52,162.43,1451.78,168.05,49.93,846.6,18.71,778.29,229.28,482.99,4194.25,205.63,1132.1,41,188.06,41.05,1416.65
2/4/2016,374.41,93.25,174.84,894.27,159.49,1393.81,172.45,49.06,838.51,18.32,770.74,233.43,485.09,4178.43,209.35,1076.21,40.65,188.18,35.5,1411.73
2/5/2016,390.87,97.8,179.25,893.24,164.53,1426.74,168.45,49.63,844.15,18.61,788.98,236.69,481.21,4164.89,213.09,1100.21,40.7,189.49,39.9,1423.22
2/8/2016,400.18,102.15,178.69,866.37,168.3,1425.27,169.1,49.72,801.98,18.76,788.56,236.92,492.4,4155.13,218.48,1108.72,41.35,184.35,39,1441.83
2/9/2016,392.34,96.2,179.34,850.84,163.36,1405.87,164.55,49.28,762.02,18.27,785.04,234.56,497.53,4086.89,216.18,1066.85,41,182.91,38,1405.42
2/10/2016,385.29,90.6,177.49,820.44,155.48,1415.62,164.5,47.06,724.01,17.98,780.05,228.9,484.11,3931.51,214.12,999.42,41.8,180.69,37.2,1382.27
2/11/2016,369.9,85.2,170.81,795.76,150.84,1397.63,155.35,43.15,691.89,17.11,766.58,224.98,473.11,3810.44,214.03,919.31,38.6,174.75,38,1362.98
2/12/2016,382.94,84.75,166.4,795.76,151.57,1371.76,151.6,42.45,675.47,16.43,774.86,233.43,495.12,3810.44,213.75,903.08,38.15,175.66,36.75,1362.98
2/15/2016,409.1,89.55,174.28,805.31,163.6,1417.19,156.5,43.63,675.22,16.87,785.14,234.19,491.56,4088.47,214.78,972.97,38.35,177.68,37,1375.32
2/16/2016,397.39,85.7,168.63,817.5,152.99,1395.92,150.5,42.41,642.61,16.04,777.27,230.88,487.27,4016.04,207.52,935.44,36.85,172.85,36,1346.49
2/17/2016,395.43,86.35,163.4,814.12,155.68,1395.67,154,41.71,628.39,16.14,773.57,227.72,483.99,4130.49,212.53,959.62,36.7,175.31,37.5,1398.3
2/18/2016,389.94,85.85,168.03,829.45,156.07,1399.74,156.55,41.41,637.47,15.56,781.43,229.89,477.16,4205.49,216.93,946.85,37.5,178.41,38.65,1386.13
2/19/2016,384.6,87.35,170.13,825.48,161.06,1401.95,174.9,44.41,661.98,16.34,770.33,230.64,464.02,4258.81,217.91,1002.68,38.65,178.35,37,1365.95
2/22/2016,389.11,86.9,170.04,828.57,161.35,1400.57,169.55,43.45,669.83,17.11,770.28,234.8,463.77,4272.58,225.73,1061.21,37.4,175.28,38.05,1382.06
2/23/2016,377.35,84.8,164.6,822.1,154.99,1408.22,169.7,43.19,654.63,16.87,761.76,224.84,459.15,4266.72,222.22,1073.75,38,172.18,37,1359.29
2/24/2016,378.77,85.7,160.27,804.63,153.28,1411.06,165.45,41.89,648.99,16.29,756.21,223.18,458.73,4257.28,221.66,1037.04,34.15,168.02,33.95,1335.42
2/25/2016,371.57,83.9,157.1,791.06,148.59,1415.42,168.25,41.97,629.86,15.56,762.41,225.12,449.95,4243.75,225.5,1004.67,35,167.44,36.9,1295.19
2/26/2016,378.28,83.85,158.39,799.48,152.84,1403.61,167.05,41.58,629.62,14.93,772.08,226.96,452.88,4235.89,222.6,966.2,35.75,170.25,37.7,1282.43
2/29/2016,367.7,82.95,162.8,813.59,154.94,1438.55,167,41.37,640.41,15.27,760.88,224.55,460.54,4193.63,221.75,1018.2,35.5,173.05,37.3,1301.51
3/1/2016,384.01,86.7,175.74,842.37,158.66,1467.41,170.2,42.45,671.79,16,762.32,228.43,466.01,4194.48,220.58,1118.61,36.45,190.19,36,1340.94
3/2/2016,398.96,93.05,188.68,864.85,176.91,1470.84,171,44.85,662.72,15.9,773.24,229.94,467.84,4238.27,221.89,1097.41,36.9,187.15,36.85,1376.5
3/3/2016,408.46,92.85,186.71,875.57,178.52,1399.15,172.9,44.5,652.18,16.63,773.7,231.64,467.04,4263.67,223.39,1090.03,37.45,185.75,35.2,1395.79
3/4/2016,407.43,94.4,188.93,895.4,184.29,1384.01,171.1,44.89,637.96,17.26,783.61,234.89,468.4,4283.63,222.17,1102.57,36.15,184.87,34.45,1397.74
3/8/2016,403.41,92.4,185.81,901.27,179.64,1378.82,171.45,44.28,614.91,17.01,764.91,233.9,463.46,4238.41,223.06,1100.3,36.45,187.94,34.6,1391.6
3/9/2016,408.66,94.3,185.33,915.82,179.45,1366.42,171.85,44.11,621.53,17.55,762.5,231.68,459.2,4250.42,223.81,1072,36.45,187.18,34.7,1403.26
3/10/2016,404.84,93.75,184.61,907.39,176.71,1375.24,169.45,44.02,647.27,17.79,747.83,232.3,440.78,4260.48,222.6,1133.14,40.6,184.9,36.3,1422.71
3/11/2016,404.15,93.45,183.19,907.64,176.42,1386.61,167.7,43.54,641.63,17.45,752.23,235.79,441.62,4283.63,229.99,1138.96,39.35,187.86,36.85,1443.74
3/14/2016,407.58,93.8,189.96,901.96,177.93,1378.28,170.25,43.76,648.5,17.21,781.71,236.17,450.14,4290.02,234.72,1137.59,37.75,189.73,36.95,1408
3/15/2016,410.71,95.05,189.66,899.76,181.21,1328.29,171.3,42.32,641.88,17.06,778.29,233.62,443.82,4244.37,227.28,1122.68,37.8,185.37,35,1355.52
3/16/2016,415.71,95.65,194.03,896.92,181.06,1332.75,176.5,42.02,650.46,16.97,773.38,232.96,443.37,4250.18,224.89,1105.74,38.05,188.44,32.65,1352.38
3/17/2016,419.34,94.8,194.97,890.55,182.09,1352.89,179.35,41.71,647.76,16.48,773.66,233.76,440.5,4236.13,230.53,1111.28,37.55,189.55,32.5,1356.62
3/18/2016,427.18,96.6,197.37,907.93,186.88,1367.74,180.85,41.58,639.43,16.97,787.4,235.51,440.21,4198.1,232.41,1121.31,37.75,190.14,32.65,1380.32
3/21/2016,434.62,99,201.19,913.03,192.36,1372.69,182.45,45.63,656.34,16.77,785.78,238.62,444.19,4238.99,232.27,1119.27,37.55,193.3,30.5,1362.56
3/22/2016,431.78,97.95,200.24,908.13,193.09,1376.97,180,45.8,649.72,16.34,788.01,235.6,441.67,4215.54,230.3,1114.31,37.75,189.38,30.15,1384.56
3/23/2016,428.74,96.85,200.76,908.52,192.51,1366.59,181.1,45.76,682.09,15.56,778.1,234.99,436.12,4224.83,226.72,1145.39,38.55,189.79,30.9,1372.65
3/28/2016,414.29,93.6,193,897.5,184.34,1353.45,176.6,44.89,690.18,15.41,763.06,229.65,428.63,4172.04,223.38,1104.37,37.7,188.53,30.9,1347
3/29/2016,420.71,94.25,191.38,908.62,185.37,1315.31,174,45.06,686.5,15.27,766.58,230.98,428.77,4161.42,225.64,1098.22,36.35,187.33,29.4,1352.81
3/30/2016,434.48,96.5,203.46,926.49,193.24,1304.33,177.4,45.98,687.97,15.71,759.68,232.91,436.91,4205.82,232.46,1133.09,36.6,191.13,29.15,1356.62
3/31/2016,435.6,97.05,202.69,947.49,190.06,1303.64,175.45,45.19,682.58,15.46,766.16,235.27,435.84,4207.01,227.99,1124.76,37.25,191.92,30.15,1373.49
4/1/2016,440.5,100.55,204.44,940.1,191.43,1329.33,180.55,46.32,676.2,15.85,772.5,236.5,431.81,4178.43,227.43,1128.74,37.85,196.57,30,1358.06
4/4/2016,436.14,99.7,204.36,940.88,190.75,1331.69,178.9,47.63,681.35,15.27,776.48,235.08,446.54,4194.77,228.51,1081.75,38.4,193.62,32.95,1347.21
4/5/2016,423.55,94.2,193.22,930.7,180.48,1326.92,177.9,47.06,667.13,15.41,770.6,231.92,437.59,4195.53,230.11,1083.41,38.05,191.01,34.1,1370.1
4/6/2016,416.3,92.95,190.9,935.45,179.94,1328.64,178.15,46.98,667.38,15.75,770.37,233.81,438.18,4180.47,236.69,1093.72,38.25,190.78,36,1379.13
4/7/2016,417.87,91.2,188.63,920.03,178.13,1334.11,175.4,48.59,664.68,16.68,763.59,233.95,435.46,4187.34,232.22,1091.4,39,186.98,36,1390.54
4/8/2016,413.02,91.25,189.71,918.12,179.11,1344.34,174.5,48.19,676.69,16.53,761.27,235.84,446.89,4220.4,237.11,1087.57,41.95,188,36,1387.36
4/11/2016,421.25,93.05,192.62,940.39,184.05,1331.69,178.45,47.98,676.94,16.92,757.22,238.34,450.82,4186.53,238.38,1122.11,40.4,191.01,37.2,1387.36
4/12/2016,424.73,93.85,195.92,948.86,183.61,1329.33,183.85,49.28,661.98,16.82,762.94,247.22,454.03,4222.02,242.28,1140.76,40.65,188.76,35.2,1403.26
